Employee_Name,EmpID,MarriedID,MaritalStatusID,GenderID,EmpStatusID,DeptID,PerfScoreID,FromDiversityJobFairID,PayRate,Termd,PositionID,Position,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,State,DOB,Zip
Employee_0,1000,1,3,0,1,2,1,0,23.754186503370917,1,24,Data Analyst,IT,Manager_A,8,Diversity Job Fair,PIP,2.8937422011058977,2,3,1/15/2019,2,NY,1980-01-01,01234
Employee_1,1001,1,2,0,3,5,4,0,39.56826228177964,1,7,Data Analyst,HR,Manager_B,7,LinkedIn,PIP,3.5011144486648647,4,6,1/15/2019,4,NY,1980-01-01,01234
Employee_2,1002,1,1,1,2,5,2,0,46.37892654004825,0,18,Sales,Sales,Manager_C,8,LinkedIn,PIP,3.8779043633509107,4,0,1/15/2019,1,TX,1980-01-01,01234
Employee_3,1003,0,0,0,3,3,3,1,20.53609512267124,1,2,HR Manager,IT,Manager_A,6,LinkedIn,PIP,1.1968355949553824,1,2,1/15/2019,0,CA,1980-01-01,01234
Employee_4,1004,0,0,1,3,2,3,1,23.518870786758896,0,27,Software Engineer,IT,Manager_B,5,Diversity Job Fair,Fully Meets,4.990999072484335,4,5,1/15/2019,1,NY,1980-01-01,01234
Employee_5,1005,1,2,0,3,3,3,0,57.06313423929858,0,20,Sales,Admin,Manager_C,7,Diversity Job Fair,PIP,1.9411702968027864,3,7,1/15/2019,1,TX,1980-01-01,01234
Employee_6,1006,0,2,0,1,3,1,1,29.092447813415234,0,9,Data Analyst,Admin,Manager_A,4,Diversity Job Fair,Fully Meets,4.662847810892938,2,8,1/15/2019,4,NY,1980-01-01,01234
Employee_7,1007,0,1,1,1,6,4,1,35.211903907794465,1,14,Sales,Sales,Manager_B,8,LinkedIn,PIP,3.4731913919450292,2,3,1/15/2019,0,NY,1980-01-01,01234
Employee_8,1008,0,3,1,2,5,2,0,15.56616668966098,0,18,Software Engineer,Sales,Manager_C,8,LinkedIn,PIP,1.2437193379581237,1,0,1/15/2019,0,NY,1980-01-01,01234
Employee_9,1009,1,2,1,2,5,2,1,45.69111301335076,0,8,Sales,HR,Manager_A,8,Diversity Job Fair,Fully Meets,1.6589398111410425,4,9,1/15/2019,1,NY,1980-01-01,01234
Employee_10,1010,0,2,0,3,3,4,1,28.660057271187995,0,15,Software Engineer,HR,Manager_B,5,LinkedIn,Fully Meets,4.836710044045692,2,3,1/15/2019,0,TX,1980-01-01,01234
Employee_11,1011,0,2,0,2,1,3,0,36.149187436524315,0,11,HR Manager,IT,Manager_C,5,Indeed,PIP,2.9923530204814837,4,6,1/15/2019,1,MA,1980-01-01,01234
Employee_12,1012,0,2,0,3,5,1,1,19.43810820549028,0,22,Sales,IT,Manager_A,9,Diversity Job Fair,Exceeds,3.203823481753281,1,4,1/15/2019,2,NY,1980-01-01,01234
Employee_13,1013,1,2,1,4,3,4,1,42.82546656731364,0,15,HR Manager,IT,Manager_B,5,Diversity Job Fair,PIP,4.6126197490325085,4,9,1/15/2019,4,TX,1980-01-01,01234
Employee_14,1014,1,3,0,2,5,2,1,36.172646765083286,0,23,HR Manager,IT,Manager_C,8,LinkedIn,Exceeds,1.9675670212424228,5,7,1/15/2019,1,TX,1980-01-01,01234
Employee_15,1015,1,1,1,1,4,2,0,15.733790658476366,0,17,Data Analyst,IT,Manager_A,4,Indeed,Exceeds,1.1743746514050724,2,8,1/15/2019,4,CA,1980-01-01,01234
Employee_16,1016,0,2,0,1,6,3,1,52.53177197761188,0,2,Software Engineer,HR,Manager_B,8,LinkedIn,PIP,3.273908675946721,1,1,1/15/2019,4,NY,1980-01-01,01234
Employee_17,1017,1,0,0,3,1,2,0,45.36114011594033,0,16,HR Manager,HR,Manager_C,5,Diversity Job Fair,Exceeds,2.40041732697343,2,3,1/15/2019,2,NY,1980-01-01,01234
Employee_18,1018,1,3,1,3,3,4,1,55.798235859021915,1,7,Software Engineer,Admin,Manager_A,1,LinkedIn,PIP,1.307925253777332,2,9,1/15/2019,1,NY,1980-01-01,01234
Employee_19,1019,1,3,0,2,1,4,0,38.683356695138954,1,1,Sales,IT,Manager_B,2,Diversity Job Fair,Fully Meets,3.3217294923949714,4,2,1/15/2019,4,CA,1980-01-01,01234
Employee_20,1020,0,1,0,3,5,4,1,24.63913628590469,0,22,Data Analyst,Admin,Manager_C,1,Indeed,Fully Meets,1.6092673669281727,3,1,1/15/2019,4,CA,1980-01-01,01234
Employee_21,1021,0,2,1,4,6,1,0,42.44296679938668,0,24,Data Analyst,Admin,Manager_A,8,Indeed,Exceeds,1.6497421475825638,1,1,1/15/2019,3,MA,1980-01-01,01234
Employee_22,1022,1,2,0,1,5,2,0,34.535033394753555,1,4,Data Analyst,Sales,Manager_B,9,Diversity Job Fair,Fully Meets,1.6004860413354662,2,5,1/15/2019,4,CA,1980-01-01,01234
Employee_23,1023,1,2,1,4,1,2,0,48.22717677561211,0,26,Software Engineer,Sales,Manager_C,7,Diversity Job Fair,PIP,1.6888091974065347,2,9,1/15/2019,4,CA,1980-01-01,01234
Employee_24,1024,0,0,0,4,1,1,1,33.51437068221729,0,1,Sales,Sales,Manager_A,3,Diversity Job Fair,Exceeds,4.677701281604506,2,4,1/15/2019,4,MA,1980-01-01,01234
Employee_25,1025,0,2,0,4,1,4,0,49.811464794709075,0,21,Software Engineer,Sales,Manager_B,4,Diversity Job Fair,Exceeds,2.3848503649459425,1,2,1/15/2019,1,CA,1980-01-01,01234
Employee_26,1026,0,1,0,3,3,2,0,40.09826256958796,0,21,Data Analyst,HR,Manager_C,8,Diversity Job Fair,Fully Meets,4.808789219018579,1,5,1/15/2019,2,NY,1980-01-01,01234
Employee_27,1027,1,0,0,3,4,1,1,18.714431664873697,0,4,Sales,IT,Manager_A,5,LinkedIn,PIP,2.4701458527929816,5,3,1/15/2019,0,MA,1980-01-01,01234
Employee_28,1028,1,1,1,3,1,3,0,42.48928904782417,1,13,Sales,HR,Manager_B,7,LinkedIn,Exceeds,4.228101352993676,5,2,1/15/2019,3,TX,1980-01-01,01234
Employee_29,1029,1,1,1,4,4,4,1,22.319893065409456,0,26,Software Engineer,Sales,Manager_C,4,Diversity Job Fair,PIP,3.63423828934694,2,6,1/15/2019,3,TX,1980-01-01,01234
Employee_30,1030,1,2,0,4,1,1,0,40.02431370331368,0,3,Sales,Admin,Manager_A,1,LinkedIn,Fully Meets,1.509509825616079,4,8,1/15/2019,2,MA,1980-01-01,01234
Employee_31,1031,1,0,1,1,5,3,1,48.467955736914426,1,1,Data Analyst,Sales,Manager_B,9,Indeed,Fully Meets,4.312039767385441,1,3,1/15/2019,3,NY,1980-01-01,01234
Employee_32,1032,1,2,0,2,4,2,1,23.620188456035663,0,2,HR Manager,Sales,Manager_C,2,Indeed,Exceeds,4.020410837952363,5,9,1/15/2019,1,TX,1980-01-01,01234
Employee_33,1033,1,3,0,1,3,2,0,54.562039296032566,0,21,Data Analyst,IT,Manager_A,3,LinkedIn,Fully Meets,3.392790479121639,3,4,1/15/2019,2,CA,1980-01-01,01234
Employee_34,1034,1,3,1,3,3,1,0,45.37640342536376,0,23,Software Engineer,Admin,Manager_B,3,Diversity Job Fair,PIP,4.65844603945824,4,5,1/15/2019,4,MA,1980-01-01,01234
Employee_35,1035,0,3,0,3,2,2,0,16.181581732450674,1,1,Data Analyst,Admin,Manager_C,5,LinkedIn,Fully Meets,1.7009567606854743,2,3,1/15/2019,0,MA,1980-01-01,01234
Employee_36,1036,0,0,1,4,5,2,1,36.86499117237358,0,20,Sales,Admin,Manager_A,2,LinkedIn,Exceeds,4.178794365372841,3,7,1/15/2019,2,NY,1980-01-01,01234
Employee_37,1037,1,2,0,4,5,2,1,36.678124009111635,0,7,Sales,IT,Manager_B,3,LinkedIn,PIP,4.464056123853365,2,0,1/15/2019,3,MA,1980-01-01,01234
Employee_38,1038,0,3,1,1,3,3,0,48.26785468105995,0,25,Sales,Sales,Manager_C,1,Diversity Job Fair,PIP,1.0529948178067587,2,5,1/15/2019,0,TX,1980-01-01,01234
Employee_39,1039,0,3,0,2,5,3,1,25.33554683834747,0,5,Sales,Sales,Manager_A,6,LinkedIn,Exceeds,1.4086431322611035,2,6,1/15/2019,4,CA,1980-01-01,01234
Employee_40,1040,1,3,0,4,1,3,1,20.750948235444582,0,28,Sales,IT,Manager_B,1,LinkedIn,PIP,4.877964844484197,1,4,1/15/2019,4,MA,1980-01-01,01234
Employee_41,1041,1,3,1,1,2,3,1,58.676339140281605,0,15,HR Manager,IT,Manager_C,7,LinkedIn,Exceeds,1.497842291041378,2,2,1/15/2019,4,MA,1980-01-01,01234
Employee_42,1042,1,0,0,2,5,1,0,46.5065369934683,0,20,Sales,HR,Manager_A,3,Indeed,Fully Meets,4.668597727999428,1,3,1/15/2019,3,MA,1980-01-01,01234
Employee_43,1043,0,2,1,1,5,3,1,54.52906056473843,1,1,Sales,IT,Manager_B,6,Indeed,Fully Meets,3.560129050123862,4,7,1/15/2019,4,MA,1980-01-01,01234
Employee_44,1044,0,1,1,4,4,1,0,19.596688644111325,1,24,HR Manager,Sales,Manager_C,2,Indeed,PIP,4.50943975486267,4,5,1/15/2019,0,TX,1980-01-01,01234
Employee_45,1045,0,2,0,3,2,2,1,58.98218500037891,1,9,Software Engineer,Admin,Manager_A,2,Indeed,Exceeds,2.1974901668413365,1,6,1/15/2019,1,NY,1980-01-01,01234
Employee_46,1046,1,1,0,4,5,1,0,29.12295503404581,0,10,HR Manager,HR,Manager_B,2,Indeed,Exceeds,4.489873929612364,4,1,1/15/2019,0,CA,1980-01-01,01234
Employee_47,1047,1,2,1,3,1,1,1,35.42752657502938,0,20,Software Engineer,IT,Manager_C,2,LinkedIn,PIP,3.3589058836137657,3,2,1/15/2019,3,NY,1980-01-01,01234
Employee_48,1048,0,2,0,3,3,4,1,48.960980260414054,0,14,Software Engineer,Sales,Manager_A,6,Diversity Job Fair,Exceeds,3.5339108826135264,2,8,1/15/2019,1,TX,1980-01-01,01234
Employee_49,1049,0,3,0,2,5,2,1,41.73602722686415,1,28,HR Manager,Admin,Manager_B,3,Diversity Job Fair,PIP,4.544896952559423,1,1,1/15/2019,0,MA,1980-01-01,01234
Employee_50,1050,1,1,1,1,1,4,0,59.19213072179828,1,14,Data Analyst,HR,Manager_C,6,Diversity Job Fair,PIP,2.457102839099172,3,5,1/15/2019,3,MA,1980-01-01,01234
Employee_51,1051,1,1,1,2,4,1,1,41.69378579718304,0,6,Data Analyst,IT,Manager_A,7,Indeed,PIP,4.579167773141403,5,4,1/15/2019,1,TX,1980-01-01,01234
Employee_52,1052,0,2,0,1,2,4,0,28.45226720759883,1,14,Data Analyst,IT,Manager_B,6,Indeed,PIP,2.130017635202578,5,0,1/15/2019,4,CA,1980-01-01,01234
Employee_53,1053,0,2,1,4,2,2,0,53.624426543053445,0,3,Data Analyst,Sales,Manager_C,8,LinkedIn,PIP,4.391218033327789,2,5,1/15/2019,4,CA,1980-01-01,01234
Employee_54,1054,0,0,0,3,2,1,1,18.18967886799981,0,19,HR Manager,Admin,Manager_A,2,Indeed,Fully Meets,4.39453488876512,3,7,1/15/2019,4,MA,1980-01-01,01234
Employee_55,1055,1,0,0,3,2,1,1,59.894353104665306,0,26,HR Manager,IT,Manager_B,8,Indeed,Exceeds,4.930059618828987,4,3,1/15/2019,1,TX,1980-01-01,01234
Employee_56,1056,0,1,1,4,6,1,1,35.37952557322757,0,26,Sales,HR,Manager_C,6,LinkedIn,PIP,2.0027093802352143,4,1,1/15/2019,4,MA,1980-01-01,01234
Employee_57,1057,0,2,1,4,4,2,1,16.718262486215203,1,25,HR Manager,Admin,Manager_A,3,Diversity Job Fair,Fully Meets,2.3615899851581466,3,1,1/15/2019,1,CA,1980-01-01,01234
Employee_58,1058,0,2,1,1,5,1,1,31.049785685551832,0,13,HR Manager,Admin,Manager_B,1,Diversity Job Fair,Exceeds,4.453757359383115,2,0,1/15/2019,4,NY,1980-01-01,01234
Employee_59,1059,1,0,0,3,4,1,0,45.12395712236696,1,10,Sales,HR,Manager_C,1,Indeed,PIP,1.8980569267068859,2,0,1/15/2019,2,NY,1980-01-01,01234
Employee_60,1060,0,3,1,2,3,3,0,25.87069580225127,0,27,Data Analyst,HR,Manager_A,9,Indeed,PIP,4.6756359086680614,2,2,1/15/2019,4,MA,1980-01-01,01234
Employee_61,1061,1,0,1,1,3,1,1,40.68849162064468,0,18,HR Manager,IT,Manager_B,5,LinkedIn,Fully Meets,1.3275502573292552,2,8,1/15/2019,4,MA,1980-01-01,01234
Employee_62,1062,0,3,0,2,4,2,1,32.58528417682799,1,29,Sales,Sales,Manager_C,7,LinkedIn,Fully Meets,1.2850930975714898,4,2,1/15/2019,2,MA,1980-01-01,01234
Employee_63,1063,0,0,0,1,2,4,1,39.80785126299139,0,11,Data Analyst,Sales,Manager_A,6,Diversity Job Fair,Exceeds,4.705176113845623,2,9,1/15/2019,3,TX,1980-01-01,01234
Employee_64,1064,0,1,1,3,1,1,0,50.7989690939462,0,23,Software Engineer,Admin,Manager_B,2,Diversity Job Fair,PIP,1.4239729771687304,3,6,1/15/2019,3,NY,1980-01-01,01234
Employee_65,1065,0,1,0,4,4,1,0,59.572278571774504,1,6,HR Manager,Admin,Manager_C,2,Diversity Job Fair,PIP,4.401734494064911,2,8,1/15/2019,1,MA,1980-01-01,01234
Employee_66,1066,0,2,1,3,1,1,1,39.14201504856543,0,19,Sales,Admin,Manager_A,1,LinkedIn,Fully Meets,1.900577106914978,5,3,1/15/2019,0,NY,1980-01-01,01234
Employee_67,1067,0,2,1,2,3,1,0,50.58303672378065,0,1,HR Manager,IT,Manager_B,5,LinkedIn,Exceeds,1.565715407178562,1,6,1/15/2019,4,TX,1980-01-01,01234
